customer_id,churn_probability,actual_churn,risk_category
14750,0.9996949748402123,1,Critical Risk
17378,0.9996041053753149,1,Critical Risk
14816,0.9996041053753149,1,Critical Risk
17316,0.9995819228262467,1,Critical Risk
17192,0.9995819228262467,1,Critical Risk
16508,0.9995819228262467,1,Critical Risk
17587,0.9995819228262467,1,Critical Risk
16002,0.9995819228262467,1,Critical Risk
13568,0.9995819228262467,1,Critical Risk
15499,0.9995819228262467,1,Critical Risk
15040,0.999553604728797,1,Critical Risk
17352,0.999553604728797,1,Critical Risk
13219,0.999553604728797,1,Critical Risk
17788,0.999553604728797,1,Critical Risk
15913,0.999553604728797,1,Critical Risk
14721,0.999553604728797,1,Critical Risk
14717,0.999553604728797,1,Critical Risk
16692,0.999553604728797,1,Critical Risk
15001,0.9995475258256034,1,Critical Risk
17875,0.9994405527148313,1,Critical Risk
17177,0.9994405527148313,1,Critical Risk
17208,0.9994405527148313,1,Critical Risk
13125,0.9994405527148313,1,Critical Risk
15905,0.9994405527148313,1,Critical Risk
17565,0.9994405527148313,1,Critical Risk
17543,0.9994405527148313,1,Critical Risk
16697,0.9994405527148313,1,Critical Risk
17938,0.9994405527148313,1,Critical Risk
16695,0.999406155714188,1,Critical Risk
18137,0.999406155714188,1,Critical Risk
15460,0.9993402530994634,1,Critical Risk
15742,0.9992930013123335,1,Critical Risk
18004,0.9992930013123335,1,Critical Risk
17826,0.9992930013123335,1,Critical Risk
15848,0.9992930013123335,1,Critical Risk
17803,0.999257547713116,1,Critical Risk
14166,0.9992378680526834,1,Critical Risk
15875,0.9991516312009182,1,Critical Risk
16285,0.9991516312009182,1,Critical Risk
14453,0.9991516312009182,1,Critical Risk
16483,0.9991516312009182,1,Critical Risk
15927,0.9991516312009182,1,Critical Risk
14579,0.9991516312009182,1,Critical Risk
17972,0.9991516312009182,1,Critical Risk
14787,0.9991516312009182,1,Critical Risk
15052,0.9991516312009182,1,Critical Risk
14165,0.9991516312009182,1,Critical Risk
18124,0.9991516312009182,1,Critical Risk
14993,0.9991432591404334,1,Critical Risk
17820,0.9991099963106181,1,Critical Risk
18000,0.9990880985741029,1,Critical Risk
12773,0.9990880985741029,1,Critical Risk
14271,0.999061998552736,1,Critical Risk
17258,0.999061998552736,1,Critical Risk
16375,0.9990537015734595,1,Critical Risk
17844,0.9990405097072441,1,Critical Risk
14145,0.9990264083229481,1,Critical Risk
13913,0.9990264083229481,1,Critical Risk
17956,0.9990264083229481,1,Critical Risk
15649,0.9990264083229481,1,Critical Risk
14823,0.9989961983259001,1,Critical Risk
16537,0.9989900090607261,1,Critical Risk
15496,0.9989686261992028,1,Critical Risk
17654,0.9989686261992028,1,Critical Risk
15509,0.9989686261992028,1,Critical Risk
16074,0.9989686261992028,1,Critical Risk
18200,0.9989686261992028,1,Critical Risk
16662,0.9989686261992028,1,Critical Risk
14811,0.9989686261992028,1,Critical Risk
15558,0.9989686261992028,1,Critical Risk
18027,0.9989686261992028,1,Critical Risk
15438,0.9989686261992028,1,Critical Risk
15797,0.9989504634621045,1,Critical Risk
12846,0.9989504634621045,1,Critical Risk
15395,0.9989504634621045,1,Critical Risk
14519,0.9989489465387703,1,Critical Risk
13619,0.9989489465387703,1,Critical Risk
17185,0.9989489465387703,1,Critical Risk
16089,0.9989489465387703,1,Critical Risk
16876,0.9989215241777408,1,Critical Risk
14131,0.9989215241777408,1,Critical Risk
17808,0.9989206284413206,1,Critical Risk
15924,0.9989141202368136,1,Critical Risk
14580,0.9988962225274585,1,Critical Risk
14879,0.9988769570467606,1,Critical Risk
17592,0.9988769570467606,1,Critical Risk
16908,0.9988769570467606,1,Critical Risk
14393,0.9988374021963417,1,Critical Risk
14812,0.9988084721637753,1,Critical Risk
14526,0.9988084721637753,1,Critical Risk
13724,0.9988084721637753,1,Critical Risk
17271,0.9988084721637753,1,Critical Risk
16408,0.9988084721637753,1,Critical Risk
17916,0.9987992043668703,1,Critical Risk
17906,0.9987991770601897,1,Critical Risk
14374,0.9987501798834806,1,Critical Risk
15672,0.9987501798834806,1,Critical Risk
12858,0.9987412856125546,1,Critical Risk
15292,0.9987311152350982,1,Critical Risk
15501,0.998707276811987,1,Critical Risk
17326,0.998707276811987,1,Critical Risk
13234,0.998707276811987,1,Critical Risk
16381,0.998707276811987,1,Critical Risk
16259,0.998707276811987,1,Critical Risk
14069,0.9986719933586088,1,Critical Risk
12506,0.9986176837308242,1,Critical Risk
17818,0.9986176837308242,1,Critical Risk
13241,0.9986176837308242,1,Critical Risk
17216,0.9985999155011395,1,Critical Risk
18120,0.9985880355328475,1,Critical Risk
15295,0.998566802436992,1,Critical Risk
16334,0.998566802436992,1,Critical Risk
17823,0.9985662960155365,1,Critical Risk
18148,0.9985616660960851,1,Critical Risk
14982,0.9985195506498621,1,Critical Risk
16731,0.9985195506498621,1,Critical Risk
17112,0.9985195506498621,1,Critical Risk
16925,0.9985195506498621,1,Critical Risk
15908,0.9985195506498621,1,Critical Risk
13119,0.9984628126548774,1,Critical Risk
15537,0.9984169104994242,1,Critical Risk
13011,0.9983868677940336,1,Critical Risk
12482,0.9983798722937968,1,Critical Risk
12961,0.9983365456481468,1,Critical Risk
15866,0.9983365456481468,1,Critical Risk
17367,0.9983365456481468,1,Critical Risk
14183,0.9982931122830888,1,Critical Risk
14433,0.9982778809230788,1,Critical Risk
15019,0.9982778809230788,1,Critical Risk
18132,0.9982778809230788,1,Critical Risk
16937,0.9982778809230788,1,Critical Risk
15457,0.9982778809230788,1,Critical Risk
13944,0.9982448764957046,1,Critical Risk
15020,0.9982419178198201,1,Critical Risk
16068,0.9982157102029453,1,Critical Risk
14736,0.9981990672515272,1,Critical Risk
16673,0.998186794385708,1,Critical Risk
15820,0.998186794385708,1,Critical Risk
13302,0.9981853755991625,1,Critical Risk
14571,0.9981793995353193,1,Critical Risk
13163,0.9981635641370821,1,Critical Risk
14990,0.9981597198748869,1,Critical Risk
14602,0.9981458464659483,1,Critical Risk
15843,0.9981323432807637,1,Critical Risk
16944,0.9981323432807637,1,Critical Risk
15746,0.9980990346840422,1,Critical Risk
15338,0.9980948759213635,1,Critical Risk
12988,0.998074608301388,1,Critical Risk
14575,0.998074608301388,1,Critical Risk
13217,0.9980357533455281,1,Critical Risk
13438,0.9980357533455281,1,Critical Risk
14380,0.9980357533455281,1,Critical Risk
12466,0.9980357533455281,1,Critical Risk
14207,0.9980357533455281,1,Critical Risk
14351,0.9980357533455281,1,Critical Risk
15242,0.9980357533455281,1,Critical Risk
13533,0.9980245066392596,1,Critical Risk
15895,0.9980099503963062,1,Critical Risk
16349,0.9980099503963062,1,Critical Risk
13586,0.9980037893839925,1,Critical Risk
17971,0.9980037893839925,1,Critical Risk
16277,0.9980037893839925,1,Critical Risk
15959,0.9979612583706077,1,Critical Risk
17976,0.9979612583706077,1,Critical Risk
14972,0.9979557916261104,1,Critical Risk
15352,0.9979529160170796,1,Critical Risk
12860,0.9979529160170796,1,Critical Risk
15519,0.9979089331107673,1,Critical Risk
13646,0.9979027123190315,1,Critical Risk
